nombrep,codigogrupop,nombreh,codigogrupoh,nombre_mat,codigo_materia,codenservicio_mat,tipo_mat,creditos_mat
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,COMUNICACIÓN ESTRATÉGICA,36901,O1145,G,9
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,CONTROL DE CALIDAD,20864,1510,G,8
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,CONTROL DE CALIDAD,20449,1901,G,8
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,CREDITOS ASIGNADOS POR REVALIDA,21467,GO8,G,8
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,CREDITOS ASIGNADOS POR REVALIDA,21166,GA10,G,10
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,CREDITOS ASIGNADOS POR REVALIDA,21471,GO6,G,6
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,CREDITOS ASIGNADOS POR REVALIDA,21468,GO9,G,9
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,CREDITOS ASIGNADOS POR REVALIDA,44186,GO10,G,10
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,GESTION DE CALIDAD,20462,1921,G,8
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,GESTION DE CALIDAD,66458,1954,G,7
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,GESTION DE CALIDAD,20481,1940,G,6
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,GESTIÓN DE LA INNOVACIÓN Y LA TECNOLOGÍA,3452,A62,G,10
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,GESTIÓN DE PROYECTOS,63430,AT010,G,4
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,INT. A LA ADMINISTRACION PARA INGENIEROS,20859,1519,G,10
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,INT. A LAS ORGANIZACIONES,20871,1507,G,10
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,INT. AL NEGOCIO DEL SOFTWARE,36914,1543,G,6
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,INTRODUCCIÓN AL EMPRENDEDURISMO,3453,A65,G,10
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,INTRODUCCIÓN A LOS SISTEMAS DE GESTIÓN,65435,618EU,G,4
